Параллель класса;1 класс;2 класс;3 класс;4 класс;5 класс;6 класс;7 класс;8 класс;9 класс;10 класс;11 класс
А;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да
Б;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да
В;Да;Да;Да;Да;Да;Да;Да;Да;Да;Нет;Нет
Г;Да;Да;Да;Да;Да;Да;Да;Нет;Нет;Нет;Нет
Д;Да;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет
Е;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет
Ё;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет
Ж;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет
З;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет
И;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет
Й;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет
К;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет
Л;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет
М;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет
Н;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет
О;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет
П;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет
Р;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет
С;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет
Т;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет
У;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет
Ф;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет
Х;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет
Ц;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет
Ч;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет
Ш;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет
Щ;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет
Ъ;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет
Ы;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет
Ь;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет
Э;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет
Ю;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет
Я;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет
