Предмет;1 класс;2 класс;3 класс;4 класс;5 класс;6 класс;7 класс;8 класс;9 класс;10 класс;11 класс
Алгебра;Нет;Нет;Нет;Нет;Нет;Нет;Да;Да;Да;Да;Да
Астрономия;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Да
Биология;Нет;Нет;Нет;Нет;Нет;Да;Да;Да;Да;Да;Да
География;Нет;Нет;Нет;Нет;Нет;Да;Да;Да;Да;Да;Нет
Геометрия;Нет;Нет;Нет;Нет;Нет;Нет;Да;Да;Да;Да;Да
Граждановедение;Нет;Нет;Нет;Нет;Да;Да;Да;Нет;Нет;Нет;Нет
Естествознание;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Да;Да
Изобразительное искусство;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да
Иностранный язык;Нет;Нет;Нет;Да;Да;Да;Да;Да;Да;Да;Да
Информатика;Нет;Нет;Нет;Нет;Нет;Да;Да;Да;Да;Да;Да
Искусство;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Да;Да
История;Нет;Нет;Нет;Нет;Да;Да;Да;Да;Да;Да;Да
Краеведение;Нет;Нет;Нет;Нет;Да;Да;Да;Нет;Нет;Нет;Нет
Литература;Нет;Нет;Нет;Нет;Да;Да;Да;Да;Да;Да;Да
Литературное чтение;Да;Да;Да;Да;Нет;Нет;Нет;Нет;Нет;Нет;Нет
Литературное чтение на родном языке;Нет;Нет;Да;Да;Нет;Нет;Нет;Нет;Нет;Нет;Нет
Математика;Да;Да;Да;Да;Да;Да;Нет;Нет;Нет;Нет;Нет
Мировая художественная культура;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет
Музыка;Да;Да;Да;Да;Да;Да;Да;Нет;Нет;Нет;Нет
Начальная военная подготовка;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Да
Обществознание;Нет;Нет;Нет;Нет;Нет;Да;Да;Да;Да;Да;Да
Окружающий мир;Нет;Да;Да;Да;Нет;Нет;Нет;Нет;Нет;Нет;Нет
Основы безопасности жизнедеятельности;Нет;Нет;Нет;Нет;Да;Да;Да;Да;Да;Да;Да
Основы религиозных культур и светской этики;Нет;Нет;Нет;Да;Да;Нет;Нет;Нет;Нет;Нет;Нет
Основы экономики;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Да;Да
Правоведение;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Да;Да
Природоведение;Да;Да;Да;Да;Да;Нет;Нет;Нет;Нет;Нет;Нет
Риторика;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет
Родная литература;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет
Родной язык;Нет;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да
Русский язык;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да
Технология;Нет;Нет;Да;Да;Да;Да;Да;Да;Да;Да;Да
Труд;Да;Да;Да;Да;Нет;Нет;Нет;Нет;Нет;Нет;Нет
Физика;Нет;Нет;Нет;Нет;Нет;Нет;Да;Да;Да;Да;Да
Физическая культура;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да;Да
Философия;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Да;Да
Химия;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Да;Да;Да;Да
Черчение;Нет;Нет;Нет;Нет;Нет;Нет;Да;Да;Нет;Нет;Нет
Чистописание;Да;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет
Экология;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Нет;Да;Да
